player,date,time,id,item,itemID,itemString,response,votes,class,instance,boss,difficultyID,mapID,groupSize,gear1,gear2,responseID,isAwardReason,subType,equipLoc,note,owner
Rawseki-Benediction,1/13/21,19:52:07,1610617927-3,[Desecrated Circlet],22367,item:22367::::::::60,Mainspec PvE,2,PRIEST,Naxxramas-40 Player,Unknown,9,533,40,|cffa335ee|Hitem:16921:2590:::::::60:::::::|h[Halo of Transcendence]|h|r,,1,false,Junk,,,Coyotee-Benediction
Rawseki-Benediction,1/13/21,19:53:57,1610618037-7,[Necro-Knight's Garb],23069,item:23069::::::::60,Offspec/Minor Upgrade,0,PRIEST,Naxxramas-40 Player,Unknown,9,533,40,|cffa335ee|Hitem:16923:1891:::::::60:::::::|h[Robes of Transcendence]|h|r,,3,false,Cloth,Chest,,Coyotee-Benediction
Puzzles-Benediction,1/13/21,21:20:04,1610623204-28,[Idol of Longevity],23004,item:23004::::::::60,Candidate didn't respond on time,3,DRUID,Naxxramas-40 Player,The Four Horsemen,9,533,40,,,TIMEOUT,false,Idols,Relic,,Coyotee-Benediction
Vieirax-Benediction,1/13/21,19:51:32,1610617892-2,[Icy Scale Coif],23033,item:23033::::::::60,Offspec/Minor Upgrade,3,WARRIOR,Naxxramas-40 Player,Unknown,9,533,40,|cffa335ee|Hitem:12640:1506:::::::60:::::::|h[Lionheart Helm]|h|r,,3,false,Mail,Head,,Coyotee-Benediction
Jaecar-Benediction,1/13/21,19:56:36,1610618196-17,[Band of Reanimation],22961,item:22961::::::::60,Mainspec PvE,3,HUNTER,Naxxramas-40 Player,Unknown,9,533,40,|cffa335ee|Hitem:21596::::::::60:::::::|h[Ring of the Godslayer]|h|r,|cffa335ee|Hitem:21205::::::::60:::11::::|h[Signet Ring of the Bronze Dragonflight]|h|r,1,false,Miscellaneous,Finger,,Coyotee-Benediction
Toddmanflex-Benediction,1/13/21,19:52:51,1610617971-5,[Icebane Pauldrons],22940,item:22940::::::::60,Mainspec PvE,4,WARRIOR,Naxxramas-40 Player,Unknown,9,533,40,|cff0070dd|Hitem:23243:2606:::::::60:::14::::|h[Champion's Plate Shoulders]|h|r,,1,false,Plate,Shoulder,FrR,Coyotee-Benediction
Ebaglow-Benediction,1/13/21,19:59:42,1610618382-21,[Misplaced Servo Arm],23221,item:23221::::::::60,Offspec/Minor Upgrade,0,ROGUE,Naxxramas-40 Player,Unknown,9,533,40,|cffa335ee|Hitem:21650:1900:::::::60:::::::|h[Ancient Qiraji Ripper]|h|r,"|cffa335ee|Hitem:19351:1900:::::::60:::::::|h[Maladath, Runed Blade of the Black Flight]|h|r",3,false,One-Handed Maces,One-Hand,,Coyotee-Benediction
Ziion-Benediction,1/13/21,21:20:18,1610623218-29,[Necro-Knight's Garb],23069,item:23069::::::::60,Offspec/Minor Upgrade,0,WARLOCK,Naxxramas-40 Player,The Four Horsemen,9,533,40,|cff0070dd|Hitem:19682:1891:::::::60:::::::|h[Bloodvine Vest]|h|r,,3,false,Cloth,Chest,,Coyotee-Benediction
Fanmail-Benediction,1/13/21,19:50:52,1610617852-1,[Desecrated Pauldrons],22354,item:22354::::::::60,Mainspec PvE,5,ROGUE,Naxxramas-40 Player,Unknown,9,533,40,|cffa335ee|Hitem:21361:2606:::::::60:::11::::|h[Deathdealer's Spaulders]|h|r,,1,false,Junk,,,Coyotee-Benediction
Madreefer-Benediction,1/13/21,19:56:22,1610618182-15,[Ring of the Eternal Flame],23237,item:23237::::::::60,Mainspec PvE,3,MAGE,Naxxramas-40 Player,Unknown,9,533,40,|cffa335ee|Hitem:19403::::::::60:::::::|h[Band of Forced Concentration]|h|r,|cffa335ee|Hitem:21709::::::::60:::11::::|h[Ring of the Fallen God]|h|r,1,false,Miscellaneous,Finger,,Coyotee-Benediction
Coyle-Benediction,1/13/21,19:52:54,1610617974-6,[Plated Abomination Ribcage],23000,item:23000::::::::60,Mainspec PvE,4,WARRIOR,Naxxramas-40 Player,Unknown,9,533,40,|cffa335ee|Hitem:21331:1891:::::::60:::11::::|h[Conqueror's Breastplate]|h|r,,1,false,Plate,Chest,,Coyotee-Benediction
Coyle-Benediction,1/13/21,19:54:32,1610618072-8,[Desecrated Bracers],22355,item:22355::::::::60,Offspec/Minor Upgrade,0,WARRIOR,Naxxramas-40 Player,Unknown,9,533,40,|cffa335ee|Hitem:22936:1885:::::::60:::::::|h[Wristguards of Vengeance]|h|r,,3,false,Junk,,,Coyotee-Benediction
Nolimitation-Benediction,1/13/21,19:55:27,1610618127-13,[Desecrated Waistguard],22356,item:22356::::::::60,Mainspec PvE,3,WARRIOR,Naxxramas-40 Player,Unknown,9,533,40,|cffa335ee|Hitem:19137::::::::60:::::::|h[Onslaught Girdle]|h|r,,1,false,Junk,,,Coyotee-Benediction
Nolimitation-Benediction,1/13/21,19:57:06,1610618226-20,[Hailstone Band],23028,item:23028::::::::60,Mainspec PvE,3,WARRIOR,Naxxramas-40 Player,Unknown,9,533,40,|cffa335ee|Hitem:21205::::::::60:::11::::|h[Signet Ring of the Bronze Dragonflight]|h|r,|cffa335ee|Hitem:19384::::::::60:::11::::|h[Master Dragonslayer's Ring]|h|r,1,false,Miscellaneous,Finger,,Coyotee-Benediction
Dorvana-Benediction,1/13/21,21:18:49,1610623129-24,[Desecrated Sandals],22372,item:22372::::::::60,Mainspec PvE,4,MAGE,Naxxramas-40 Player,The Four Horsemen,9,533,40,|cffa335ee|Hitem:21344:911:::::::60:::11::::|h[Enigma Boots]|h|r,,1,false,Junk,,,Coyotee-Benediction
